ID;LAT;LONG;ANO;LANCE;SECTOR;ESTRATO;PROFUNDIDAD;DURACION;KG
1;37,5333331;-0,7909996;1997;35;112;1;44;30;5,99900
2;37,61917;-0,66783;2014;63;112;2;85;30;59,37700
3;37,6216664;-0,6644997;2010;27;112;2;80;30;59,98500
4;37,6219997;-0,664333;2013;47;112;2;86;30;68,35900
5;37,6225;-0,66383;2015;72;112;2;86;30;40,96900
6;37,6226664;-0,6636664;2011;36;112;2;84;30;146,03600
7;37,623;-0,66283;2018;71;112;2;86;30;263,31200
8;37,62433;-0,66067;2016;72;112;2;86;30;99,10300
9;37,6244997;-0,6606664;2012;39;112;2;85;30;8,72800
10;37,624833;-0,660333;2009;40;112;2;87;30;86,03300
11;37,62617;-0,65867;2018;67;112;2;86;30;31,74200
12;37,6274997;-0,6566664;2008;44;112;2;85;30;46,18000
13;37,67683;-0,34317;2014;67;112;4;258;60;211,83300
14;37,67733;-0,344;2016;76;112;4;257;60;66,99400
15;37,6776663;-0,3404998;2013;51;112;4;259;60;100,73900
16;37,679833;-0,3393331;2012;43;112;4;256;60;30,92800
17;37,6809997;-0,3378331;2007;49;112;4;258;30;202,45000
18;37,68117;-0,34367;2015;76;112;4;254;60;132,77500
19;37,68183;-0,34417;2017;74;112;4;252;60;102,61200
20;37,6861663;-0,3359998;2005;32;112;4;255;30;67,79700
21;37,6861663;-0,3349998;2004;37;112;4;256;30;21,44000
22;37,6864997;-0,3358331;2006;54;112;4;250;30;204,40900
23;37,6961663;-0,2471665;2002;47;112;4;431;60;15,37400
24;37,70083;-0,2465;2014;68;112;4;422;60;62,64200
25;37,7011663;-0,2453332;2013;52;112;4;425;60;28,15500
26;37,70117;-0,24567;2018;78;112;4;409;60;47,22200
27;37,7016663;-0,2453332;2012;44;112;4;423;60;18,67000
28;37,70317;-0,24783;2016;77;112;4;415;60;63,24600
29;37,703333;-0,2441665;2008;51;112;4;424;60;19,00800
30;37,703833;-0,2453332;2001;41;112;4;419;50;53,15800
31;37,7045;-0,32433;2018;77;112;4;198;60;179,25600
32;37,7049997;-0,3239998;2011;40;112;4;253;60;156,36800
33;37,7051663;-0,2528332;1998;35;112;4;402;60;10,42300
34;37,7061663;-0,3226665;2003;129;112;4;255;30;104,21100
35;37,7064997;-0,5914997;2010;28;112;2;79;30;62,39800
36;37,7065;-0,24317;2018;74;112;4;409,75;60;53,04100
37;37,7071663;-0,2431665;2007;48;112;4;438;60;74,11200
38;37,7089997;-0,6524997;2013;48;112;1;47;30;341,20600
39;37,709333;-0,6521664;2010;29;112;1;43;30;45,07000
40;37,7095;-0,58683;2018;74;112;2;82,5;30;64,81700
41;37,70967;-0,6545;2016;73;112;1;47;30;364,95100
42;37,709833;-0,5861664;2009;41;112;2;82;30;67,30200
43;37,71017;-0,65217;2018;72;112;1;47,18;30;888,72500
44;37,7104997;-0,6519997;2011;37;112;1;44;30;111,92200
45;37,7106663;-0,6511664;2008;46;112;1;48;30;57,11100
46;37,7106663;-0,2414999;2006;55;112;4;416;60;45,83100
47;37,71083;-0,65067;2014;64;112;1;47;30;375,52600
48;37,711;-0,65133;2018;68;112;1;46,5;30;463,07000
49;37,7111663;-0,2423332;2005;33;112;4;419;60;11,03400
50;37,71133;-0,5845;2018;70;112;2;82,75;30;186,99900
51;37,71167;-0,65167;2015;73;112;1;47;30;449,49100
52;37,712;-0,65167;2017;72;112;1;47,25;30;225,96900
53;37,7121663;-0,6504997;2012;40;112;1;47;30;61,01600
54;37,7125;-0,2455;2017;75;112;4;398,25;60;37,98100
55;37,713833;-0,3103332;1994;32;112;4;297;60;365,60100
56;37,714;-0,318;2018;73;112;4;264,25;50;62,45700
57;37,7141663;-0,2456665;1999;42;112;4;400;60;14,20000
58;37,7145;-0,24617;2015;77;112;4;410;60;41,89800
59;37,7154997;-0,2449999;2004;38;112;4;406;60;24,90500
60;37,7154997;-0,2411665;2000;45;112;4;419;45;7,92000
61;37,717833;-0,5746664;2008;45;112;2;84;30;76,11100
